RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-11-20;A1MD34;BRA1MDBDR002;A1MD;1431;434,1336268;1;621245,22
2020-11-20;A1ZN34;BRA1ZNBDR003;A1ZN;1;52,46;1;52,46
2020-11-20;AALR3;BRAALRACNOR6;AALR;1012337;10,8597294;1;10993705,97
2020-11-20;AAPL34;BRAAPLBDR004;AAPL;106925;63,8403161;1;6826125,8
2020-11-20;ABCB4;BRABCBACNPR4;ABCB;2957198;13,123081;1;38807549,04
2020-11-20;ABEV3;BRABEVACNOR1;ABEV;147294817;13,8002798;1;2032709695,12
2020-11-20;ADBE34;BRADBEBDR003;ADBE;40;51,98;1;2079,2
2020-11-20;AERI3;BRAERIACNOR4;AERI;26508;6,707231;1;177795,28
2020-11-20;AGRO3;BRAGROACNOR7;AGRO;357435;23,6486315;1;8452848,61
2020-11-20;ALPA3;BRALPAACNOR0;ALPA;278;36,3014388;1;10091,8
2020-11-20;ALPA4;BRALPAACNPR7;ALPA;2288699;40,6155664;1;92956806,24
2020-11-20;ALPK3;BRALPKACNOR9;ALPK;8400;9,4553214;1;79424,7
2020-11-20;ALSO3;BRALSOACNOR5;ALSO;7354864;25,0278339;1;184076315,13
2020-11-20;ALUP11;BRALUPCDAM15;ALUP;3172003;23,5749676;1;74779868,1
2020-11-20;ALUP3;BRALUPACNOR8;ALUP;1300;8,9676923;1;11658
2020-11-20;ALUP4;BRALUPACNPR5;ALUP;1374;7,8432605;1;10776,64
2020-11-20;AMAR3;BRAMARACNOR4;AMAR;9116474;6,9742643;1;63580699,46
2020-11-20;AMBP3;BRAMBPACNOR6;AMBP;46707;25,4850067;1;1190328,21
2020-11-20;AMGN34;BRAMGNBDR004;AMGN;1;45,1;1;45,1
2020-11-20;AMZO34;BRAMZOBDR002;AMZO;28245;108,3885229;1;3061433,829594
2020-11-20;ANIM3;BRANIMACNOR6;ANIM;2930937;30,6493634;1;89831353,35
2020-11-20;APER3;BRAPERACNOR9;APER;56712;29,5802112;1;1677552,94
2020-11-20;ARMT34;BRARMTBDR008;ARMT;1;44,2;1;44,2
2020-11-20;ARZZ3;BRARZZACNOR3;ARZZ;1123141;63,8327735;1;71693205,09
2020-11-20;ATMP3;BRATMPACNOR8;ATMP;35;3,886;1;136,01
2020-11-20;ATOM3;BRATOMACNOR1;ATOM;1956;3,2374846;1;6332,52
2020-11-20;ATVI34;BRATVIBDR008;ATVI;41;417,3378048;1;17110,85
